chart,series,x_value,x_label,metric,value_share,value_pct,source
cohort_funnel,5m:week_1_retention,4,Mar. 9,week_1_retention,0.532847,53.285,report/index.html
cohort_funnel,5m:week_4_retention,4,Mar. 9,week_4_retention,0.199635,19.964,report/index.html
cohort_funnel,5m:new_wallets,5,,new_wallets,,15778,report/index.html
cohort_funnel,5m:week_1_retention,5,,week_1_retention,0.548905,54.891,report/index.html
cohort_funnel,5m:week_4_retention,5,,week_4_retention,0.206569,20.657,report/index.html
cohort_funnel,5m:new_wallets,6,Mar. 23,new_wallets,,15953,report/index.html
cohort_funnel,5m:week_1_retention,6,Mar. 23,week_1_retention,0.528832,52.883,report/index.html
cohort_funnel,5m:week_4_retention,6,Mar. 23,week_4_retention,0.194161,19.416,report/index.html
cohort_funnel,5m:new_wallets,7,,new_wallets,,14034,report/index.html
cohort_funnel,5m:week_1_retention,7,,week_1_retention,0.527372,52.737,report/index.html
cohort_funnel,5m:week_4_retention,7,,week_4_retention,0.177737,17.774,report/index.html
cohort_funnel,5m:new_wallets,8,Apr. 6,new_wallets,,14934,report/index.html
cohort_funnel,5m:week_1_retention,8,Apr. 6,week_1_retention,0.509124,50.912,report/index.html
cohort_funnel,5m:week_4_retention,8,Apr. 6,week_4_retention,0.170438,17.044,report/index.html
cohort_funnel,5m:new_wallets,9,,new_wallets,,12602,report/index.html
cohort_funnel,5m:week_1_retention,9,,week_1_retention,0.512044,51.204,report/index.html
cohort_funnel,5m:week_4_retention,9,,week_4_retention,0.186496,18.65,report/index.html
cohort_funnel,5m:new_wallets,10,Apr. 20,new_wallets,,11134,report/index.html
cohort_funnel,5m:week_1_retention,10,Apr. 20,week_1_retention,0.503285,50.328,report/index.html
cohort_funnel,5m:week_4_retention,10,Apr. 20,week_4_retention,0.173723,17.372,report/index.html
cohort_funnel,5m:new_wallets,11,,new_wallets,,10161,report/index.html
cohort_funnel,5m:week_1_retention,11,,week_1_retention,0.45073,45.073,report/index.html
cohort_funnel,5m:new_wallets,12,May 4,new_wallets,,7527,report/index.html
cohort_funnel,5m:week_1_retention,12,May 4,week_1_retention,0.516788,51.679,report/index.html
cohort_funnel,5m:new_wallets,13,,new_wallets,,7728,report/index.html
cohort_funnel,5m:week_1_retention,13,,week_1_retention,0.50438,50.438,report/index.html
cohort_funnel,5m:new_wallets,14,May 18,new_wallets,,7058,report/index.html
cohort_funnel,5m:week_1_retention,14,May 18,week_1_retention,0.499635,49.964,report/index.html
cohort_funnel,5m:new_wallets,15,,new_wallets,,5654,report/index.html
cohort_funnel,5m:week_1_retention,15,,week_1_retention,0.50219,50.219,report/index.html
cohort_funnel,5m:new_wallets,16,Jun 8,new_wallets,,6811,report/index.html
cohort_funnel,5m:week_1_retention,16,Jun 8,week_1_retention,0.522993,52.299,report/index.html
cohort_funnel,5m:new_wallets,17,,new_wallets,,7673,report/index.html
cohort_funnel,5m:week_1_retention,17,,week_1_retention,0.523723,52.372,report/index.html
cohort_funnel,5m:new_wallets,18,Jun 22,new_wallets,,5149,report/index.html
cohort_funnel,15m:new_wallets,0,Dec. 29,new_wallets,,9816,report/index.html
cohort_funnel,15m:week_1_retention,0,Dec. 29,week_1_retention,0.780657,78.066,report/index.html
cohort_funnel,15m:week_4_retention,0,Dec. 29,week_4_retention,0.389416,38.942,report/index.html
cohort_funnel,15m:new_wallets,1,,new_wallets,,8735,report/index.html
cohort_funnel,15m:week_1_retention,1,,week_1_retention,0.595255,59.526,report/index.html
cohort_funnel,15m:week_4_retention,1,,week_4_retention,0.285401,28.54,report/index.html
cohort_funnel,15m:new_wallets,2,,new_wallets,,7198,report/index.html
cohort_funnel,15m:week_1_retention,2,,week_1_retention,0.60219,60.219,report/index.html
cohort_funnel,15m:week_4_retention,2,,week_4_retention,0.268978,26.898,report/index.html
cohort_funnel,15m:new_wallets,3,Jan. 19,new_wallets,,6651,report/index.html
cohort_funnel,15m:week_1_retention,3,Jan. 19,week_1_retention,0.605839,60.584,report/index.html
cohort_funnel,15m:week_4_retention,3,Jan. 19,week_4_retention,0.188321,18.832,report/index.html
cohort_funnel,15m:new_wallets,4,,new_wallets,,6340,report/index.html
cohort_funnel,15m:week_1_retention,4,,week_1_retention,0.610219,61.022,report/index.html
cohort_funnel,15m:week_4_retention,4,,week_4_retention,0.188321,18.832,report/index.html
cohort_funnel,15m:new_wallets,5,,new_wallets,,11586,report/index.html
cohort_funnel,15m:week_1_retention,5,,week_1_retention,0.558759,55.876,report/index.html
cohort_funnel,15m:week_4_retention,5,,week_4_retention,0.137591,13.759,report/index.html
cohort_funnel,15m:new_wallets,6,Feb. 9,new_wallets,,9328,report/index.html
cohort_funnel,15m:week_1_retention,6,Feb. 9,week_1_retention,0.467518,46.752,report/index.html
cohort_funnel,15m:week_4_retention,6,Feb. 9,week_4_retention,0.156204,15.62,report/index.html
cohort_funnel,15m:new_wallets,7,,new_wallets,,5866,report/index.html
cohort_funnel,15m:week_1_retention,7,,week_1_retention,0.490511,49.051,report/index.html
cohort_funnel,15m:week_4_retention,7,,week_4_retention,0.185036,18.504,report/index.html
cohort_funnel,15m:new_wallets,8,,new_wallets,,5063,report/index.html
cohort_funnel,15m:week_1_retention,8,,week_1_retention,0.512409,51.241,report/index.html
cohort_funnel,15m:week_4_retention,8,,week_4_retention,0.179197,17.92,report/index.html
cohort_funnel,15m:new_wallets,9,Mar. 2,new_wallets,,4963,report/index.html
cohort_funnel,15m:week_1_retention,9,Mar. 2,week_1_retention,0.524818,52.482,report/index.html
cohort_funnel,15m:week_4_retention,9,Mar. 2,week_4_retention,0.190511,19.051,report/index.html
cohort_funnel,15m:new_wallets,10,,new_wallets,,4826,report/index.html
cohort_funnel,15m:week_1_retention,10,,week_1_retention,0.555839,55.584,report/index.html
cohort_funnel,15m:week_4_retention,10,,week_4_retention,0.181752,18.175,report/index.html
cohort_funnel,15m:new_wallets,11,,new_wallets,,4853,report/index.html
cohort_funnel,15m:week_1_retention,11,,week_1_retention,0.563869,56.387,report/index.html
cohort_funnel,15m:week_4_retention,11,,week_4_retention,0.192336,19.234,report/index.html
cohort_funnel,15m:new_wallets,12,Mar. 23,new_wallets,,4274,report/index.html
cohort_funnel,15m:week_1_retention,12,Mar. 23,week_1_retention,0.574453,57.445,report/index.html
cohort_funnel,15m:week_4_retention,12,Mar. 23,week_4_retention,0.19635,19.635,report/index.html
cohort_funnel,15m:new_wallets,13,,new_wallets,,3941,report/index.html
cohort_funnel,15m:week_1_retention,13,,week_1_retention,0.54562,54.562,report/index.html
cohort_funnel,15m:week_4_retention,13,,week_4_retention,0.186861,18.686,report/index.html
cohort_funnel,15m:new_wallets,14,,new_wallets,,3407,report/index.html
cohort_funnel,15m:week_1_retention,14,,week_1_retention,0.585766,58.577,report/index.html
cohort_funnel,15m:week_4_retention,14,,week_4_retention,0.204745,20.474,report/index.html
cohort_funnel,15m:new_wallets,15,Apr. 13,new_wallets,,3184,report/index.html
cohort_funnel,15m:week_1_retention,15,Apr. 13,week_1_retention,0.551095,55.109,report/index.html
cohort_funnel,15m:week_4_retention,15,Apr. 13,week_4_retention,0.218248,21.825,report/index.html
cohort_funnel,15m:new_wallets,16,,new_wallets,,2782,report/index.html
cohort_funnel,15m:week_1_retention,16,,week_1_retention,0.544891,54.489,report/index.html
cohort_funnel,15m:week_4_retention,16,,week_4_retention,0.193066,19.307,report/index.html
cohort_funnel,15m:new_wallets,17,,new_wallets,,2459,report/index.html
cohort_funnel,15m:week_1_retention,17,,week_1_retention,0.520073,52.007,report/index.html
cohort_funnel,15m:new_wallets,18,May 4,new_wallets,,1948,report/index.html
cohort_funnel,15m:week_1_retention,18,May 4,week_1_retention,0.560219,56.022,report/index.html
cohort_funnel,15m:new_wallets,19,,new_wallets,,2062,report/index.html
cohort_funnel,15m:week_1_retention,19,,week_1_retention,0.561314,56.131,report/index.html
cohort_funnel,15m:new_wallets,20,,new_wallets,,1756,report/index.html
cohort_funnel,15m:week_1_retention,20,,week_1_retention,0.529197,52.92,report/index.html
cohort_funnel,15m:new_wallets,21,Jun 1,new_wallets,,3088,report/index.html
cohort_funnel,15m:week_1_retention,21,Jun 1,week_1_retention,0.572993,57.299,report/index.html
cohort_funnel,15m:new_wallets,22,,new_wallets,,2468,report/index.html
cohort_funnel,15m:week_1_retention,22,,week_1_retention,0.567153,56.715,report/index.html
cohort_funnel,15m:new_wallets,23,,new_wallets,,2121,report/index.html
cohort_funnel,15m:week_1_retention,23,,week_1_retention,0.547445,54.745,report/index.html
cohort_funnel,15m:new_wallets,24,Jun 22,new_wallets,,1396,report/index.html
cohort_funnel,1h:new_wallets,0,Dec. 29,new_wallets,,2423,report/index.html
cohort_funnel,1h:week_1_retention,0,Dec. 29,week_1_retention,0.764964,76.496,report/index.html
cohort_funnel,1h:week_4_retention,0,Dec. 29,week_4_retention,0.420803,42.08,report/index.html
cohort_funnel,1h:new_wallets,1,,new_wallets,,3394,report/index.html
cohort_funnel,1h:week_1_retention,1,,week_1_retention,0.515328,51.533,report/index.html
cohort_funnel,1h:week_4_retention,1,,week_4_retention,0.199635,19.964,report/index.html
cohort_funnel,1h:new_wallets,2,,new_wallets,,3330,report/index.html
cohort_funnel,1h:week_1_retention,2,,week_1_retention,0.572993,57.299,report/index.html
cohort_funnel,1h:week_4_retention,2,,week_4_retention,0.243066,24.307,report/index.html
cohort_funnel,1h:new_wallets,3,Jan. 19,new_wallets,,2672,report/index.html
cohort_funnel,1h:week_1_retention,3,Jan. 19,week_1_retention,0.583942,58.394,report/index.html
cohort_funnel,1h:week_4_retention,3,Jan. 19,week_4_retention,0.158759,15.876,report/index.html
cohort_funnel,1h:new_wallets,4,,new_wallets,,2436,report/index.html
cohort_funnel,1h:week_1_retention,4,,week_1_retention,0.528832,52.883,report/index.html
cohort_funnel,1h:week_4_retention,4,,week_4_retention,0.168613,16.861,report/index.html
cohort_funnel,1h:new_wallets,5,,new_wallets,,2246,report/index.html
cohort_funnel,1h:week_1_retention,5,,week_1_retention,0.527007,52.701,report/index.html
cohort_funnel,1h:week_4_retention,5,,week_4_retention,0.189781,18.978,report/index.html
cohort_funnel,1h:new_wallets,6,Feb. 9,new_wallets,,2733,report/index.html
cohort_funnel,1h:week_1_retention,6,Feb. 9,week_1_retention,0.55438,55.438,report/index.html
cohort_funnel,1h:week_4_retention,6,Feb. 9,week_4_retention,0.168613,16.861,report/index.html
cohort_funnel,1h:new_wallets,7,,new_wallets,,2292,report/index.html
cohort_funnel,1h:week_1_retention,7,,week_1_retention,0.470438,47.044,report/index.html
cohort_funnel,1h:week_4_retention,7,,week_4_retention,0.162044,16.204,report/index.html
cohort_funnel,1h:new_wallets,8,,new_wallets,,3260,report/index.html
cohort_funnel,1h:week_1_retention,8,,week_1_retention,0.669708,66.971,report/index.html
cohort_funnel,1h:week_4_retention,8,,week_4_retention,0.45,45.0,report/index.html
cohort_funnel,1h:new_wallets,9,Mar. 2,new_wallets,,2399,report/index.html
cohort_funnel,1h:week_1_retention,9,Mar. 2,week_1_retention,0.555474,55.547,report/index.html
cohort_funnel,1h:week_4_retention,9,Mar. 2,week_4_retention,0.236496,23.65,report/index.html
cohort_funnel,1h:new_wallets,10,,new_wallets,,1932,report/index.html
cohort_funnel,1h:week_1_retention,10,,week_1_retention,0.538321,53.832,report/index.html
cohort_funnel,1h:week_4_retention,10,,week_4_retention,0.222628,22.263,report/index.html
cohort_funnel,1h:new_wallets,11,,new_wallets,,1645,report/index.html
cohort_funnel,1h:week_1_retention,11,,week_1_retention,0.481387,48.139,report/index.html
cohort_funnel,1h:week_4_retention,11,,week_4_retention,0.193431,19.343,report/index.html
cohort_funnel,1h:new_wallets,12,Mar. 23,new_wallets,,1220,report/index.html
cohort_funnel,1h:week_1_retention,12,Mar. 23,week_1_retention,0.562409,56.241,report/index.html
cohort_funnel,1h:week_4_retention,12,Mar. 23,week_4_retention,0.215693,21.569,report/index.html
cohort_funnel,1h:new_wallets,13,,new_wallets,,1257,report/index.html
cohort_funnel,1h:week_1_retention,13,,week_1_retention,0.587591,58.759,report/index.html
cohort_funnel,1h:week_4_retention,13,,week_4_retention,0.177372,17.737,report/index.html
cohort_funnel,1h:new_wallets,14,,new_wallets,,1292,report/index.html
cohort_funnel,1h:week_1_retention,14,,week_1_retention,0.596715,59.672,report/index.html
cohort_funnel,1h:week_4_retention,14,,week_4_retention,0.205839,20.584,report/index.html
cohort_funnel,1h:new_wallets,15,Apr. 13,new_wallets,,1216,report/index.html
cohort_funnel,1h:week_1_retention,15,Apr. 13,week_1_retention,0.559124,55.912,report/index.html
cohort_funnel,1h:week_4_retention,15,Apr. 13,week_4_retention,0.190876,19.088,report/index.html
cohort_funnel,1h:new_wallets,16,,new_wallets,,930,report/index.html
cohort_funnel,1h:week_1_retention,16,,week_1_retention,0.529927,52.993,report/index.html
cohort_funnel,1h:week_4_retention,16,,week_4_retention,0.176277,17.628,report/index.html
cohort_funnel,1h:new_wallets,17,,new_wallets,,755,report/index.html
cohort_funnel,1h:week_1_retention,17,,week_1_retention,0.551095,55.109,report/index.html
cohort_funnel,1h:new_wallets,18,May 4,new_wallets,,643,report/index.html
cohort_funnel,1h:week_1_retention,18,May 4,week_1_retention,0.566058,56.606,report/index.html
cohort_funnel,1h:new_wallets,19,,new_wallets,,537,report/index.html
cohort_funnel,1h:week_1_retention,19,,week_1_retention,0.558759,55.876,report/index.html
cohort_funnel,1h:new_wallets,20,,new_wallets,,498,report/index.html
cohort_funnel,1h:week_1_retention,20,,week_1_retention,0.526642,52.664,report/index.html
cohort_funnel,1h:new_wallets,21,Jun 1,new_wallets,,951,report/index.html
cohort_funnel,1h:week_1_retention,21,Jun 1,week_1_retention,0.600365,60.036,report/index.html
cohort_funnel,1h:new_wallets,22,,new_wallets,,722,report/index.html
cohort_funnel,1h:week_1_retention,22,,week_1_retention,0.563504,56.35,report/index.html
cohort_funnel,1h:new_wallets,23,,new_wallets,,627,report/index.html
cohort_funnel,1h:week_1_retention,23,,week_1_retention,0.504745,50.474,report/index.html
cohort_funnel,1h:new_wallets,24,Jun 22,new_wallets,,375,report/index.html
cohort_funnel,4h:new_wallets,0,Dec. 29,new_wallets,,225,report/index.html
cohort_funnel,4h:week_1_retention,0,Dec. 29,week_1_retention,0.813504,81.35,report/index.html
cohort_funnel,4h:week_4_retention,0,Dec. 29,week_4_retention,0.582117,58.212,report/index.html
cohort_funnel,4h:new_wallets,1,,new_wallets,,189,report/index.html
cohort_funnel,4h:week_1_retention,1,,week_1_retention,0.724818,72.482,report/index.html
cohort_funnel,4h:week_4_retention,1,,week_4_retention,0.375547,37.555,report/index.html
cohort_funnel,4h:new_wallets,2,,new_wallets,,241,report/index.html
